"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000002834",7180.49667257707,0.395889174101897,0.0982718644994631,4.02850984987732,5.61315094317627e-05,0.000816478492170838
"ENSG00000002919",250.924031314052,0.388569010618832,0.144678091986905,2.68574879086739,0.00723674754749255,0.0442622782973114
"ENSG00000003096",378.746234635411,-0.922849934035897,0.186485171645021,-4.94865047925936,7.47298035570707e-07,1.85014908268425e-05
"ENSG00000003402",2549.95495576688,1.18088543441837,0.160750094223384,7.34609481956116,2.04081625860231e-13,2.12025303667397e-11
"ENSG00000003987",25.5428389888975,0.98571449715042,0.330312936528936,2.98418374862551,0.00284335962869393,0.0213580796054683
"ENSG00000004059",1227.24827128654,0.366653405625128,0.0986293781824643,3.71748674058169,0.000201214543906227,0.00244509489422806
"ENSG00000004487",1240.00504962018,-0.301380225282849,0.0764886074445915,-3.94019757126798,8.14145299111566e-05,0.0011218542919455
"ENSG00000004700",1037.02250183428,0.363889883519139,0.112976824295918,3.22092505066357,0.00127777559294582,0.011353968425945
"ENSG00000004799",915.613541323728,2.54061098428591,0.901740162877333,2.81745350698272,0.00484061223702544,0.0322895934280517
"ENSG00000004866",412.944159650827,-0.585007533339141,0.177444207588388,-3.29685336754505,0.000977745328411905,0.00911333476335756
"ENSG00000005007",2265.65567071642,0.238858973777988,0.0782155332437893,3.05385597811486,0.0022592051097523,0.0179468653394855
"ENSG00000005100",485.924832268171,0.368498184796907,0.128851143568027,2.85987515976029,0.00423807807531357,0.0291266751707131
"ENSG00000005249",298.528369522713,0.64480963013193,0.21724464641285,2.96812667552019,0.00299620822385575,0.0222806970377674
"ENSG00000005471",33.7408223787309,-1.22056202147327,0.447162818416804,-2.72956956885349,0.00634170668310527,0.0399072100748742
"ENSG00000005812",1411.69702951445,0.471167483998055,0.165462320294537,2.84758175250617,0.00440527778799423,0.0299895667910187
"ENSG00000006025",160.625635613271,-0.932040295065332,0.254235106722081,-3.66605661618637,0.00024631941443994,0.00290187144703305
"ENSG00000006114",997.69545641392,-0.51724489194974,0.0967313619342462,-5.34723053213435,8.93102337811789e-08,2.78053647014599e-06
"ENSG00000006451",1097.44528791843,-0.582732872042886,0.190015487734512,-3.06676513051966,0.00216388810621749,0.0173142409194591
"ENSG00000006607",879.375378103986,0.595250204969793,0.172944127431695,3.44186422406792,0.000577720145529458,0.0058993703886587
"ENSG00000006788",10.2578535363981,3.16776777283592,1.12583446815072,2.81370651054879,0.00489739183974181,0.032613639939216
"ENSG00000006831",1095.79431465855,0.238111954027632,0.0756961123946668,3.14562989425607,0.00165729582801418,0.0139622537128173
"ENSG00000007866",1622.06582738515,0.594139956307547,0.159983648898151,3.71375425175975,0.000204207102623332,0.00247024526185334
"ENSG00000007944",340.274922921402,-0.502908470448456,0.142955585094294,-3.51793509932988,0.000434918716732874,0.00470074675591366
"ENSG00000008083",301.702741319836,0.449434318961586,0.136661002617449,3.28868009420122,0.00100658363035792,0.00935580508957251
"ENSG00000008130",1666.96510463158,0.791413097758428,0.142463793262908,5.55518759982704,2.77313764329215e-08,9.97986907617665e-07
"ENSG00000008256",3721.6744519808,1.20178170489827,0.203477259638198,5.90622120150011,3.50043896666315e-09,1.52975648033883e-07
"ENSG00000008311",722.985700952922,1.10510071591837,0.16826885797713,6.56747023307523,5.1177238178679e-11,3.48826582696897e-09
"ENSG00000008513",1571.14283169499,-0.578733300264195,0.213022962651397,-2.71676486450556,0.00659234239572971,0.0411412837605393
"ENSG00000008710",5434.61872457762,0.488593318164788,0.177280047704838,2.75605362526905,0.00585034045729864,0.0374417268138475
"ENSG00000008853",559.386781268066,0.56415538481474,0.174477498714433,3.23339908567863,0.0012232654528291,0.0109815423822267
"ENSG00000009335",2105.09953852754,0.204953791206692,0.067851275623666,3.02063283737596,0.00252247033619941,0.0195689349782065
"ENSG00000009413",7595.98501212762,1.11755805756869,0.166412611000158,6.71558514016481,1.87313017344993e-11,1.37887355834894e-09
"ENSG00000009780",174.683566904932,0.584809505272278,0.208510638416511,2.80469864613858,0.00503636428557352,0.0332604871060423
"ENSG00000010017",1859.25058409712,0.734458076829091,0.15770711833049,4.65710162359295,3.20692167633125e-06,6.84487676869517e-05
"ENSG00000010256",1797.89372326018,0.467457565413718,0.105995120758345,4.41018003535708,1.03284713003007e-05,0.000189867336456027
"ENSG00000010278",3888.0336373879,0.566990679976764,0.209456358167257,2.70696332609777,0.0067901757991251,0.0421377601202357
"ENSG00000010818",1413.66249647971,-0.351545820244653,0.115718497877196,-3.037939713128,0.00238201603673506,0.0187337756963166
"ENSG00000011198",1160.97585617852,1.08716565827792,0.200990968348766,5.40902741655255,6.33679296612688e-08,2.09912603795919e-06
"ENSG00000011304",3594.48864269532,0.34449677843897,0.115679918815541,2.97801711797787,0.00290119780970421,0.0217235711221207
"ENSG00000011347",148.602142915569,-0.938576402882816,0.232037268339452,-4.04493816704373,5.23369357788122e-05,0.000770539259826192
"ENSG00000011454",2323.07629808877,0.445239759348823,0.155993429182167,2.85422124305555,0.00431424747332806,0.0295154402729172
"ENSG00000011478",141.834882997287,0.684649104493715,0.161814850530948,4.23106471530417,2.32587736522987e-05,0.000384850217785237
"ENSG00000011485",968.042490201867,0.549105824919854,0.105709520825185,5.19447842193824,2.05294582017447e-07,5.76321044399149e-06
"ENSG00000011566",1398.11302065737,0.816056072115324,0.17533390618511,4.65429699178529,3.25087948268647e-06,6.90311754765846e-05
"ENSG00000012048",221.581291889604,-1.21222978829143,0.172626771517534,-7.02225835329549,2.18310370856631e-12,1.95452684999912e-10
"ENSG00000012171",1270.12615468409,-0.752125798499994,0.188252140349762,-3.99531074176679,6.46094531693121e-05,0.000917775619934234
"ENSG00000012660",2386.65050072899,0.419935681854524,0.155477504278715,2.70094174589869,0.00691434479646694,0.0426685144798368
"ENSG00000012822",6064.67292452938,0.417766468100199,0.144758227987038,2.88596008606576,0.00390221641971469,0.0272507338850129
"ENSG00000013293",245.142016848063,-2.83942445260605,0.368070289508713,-7.71435384365309,1.21596689272501e-14,1.43857568887174e-12
"ENSG00000013297",3439.34786081109,-1.71828878241878,0.264627752998266,-6.49322968944244,8.4015445366796e-11,5.33846075162955e-09
"ENSG00000013523",345.813424586678,-0.309996321706462,0.109074992338089,-2.84204761386182,0.00448247965348617,0.0304026660526992
"ENSG00000013561",888.949443913352,0.313742377989411,0.108009448710032,2.90476788592545,0.00367525544041796,0.0260922656920886
"ENSG00000013583",1390.38733265153,0.391761062743016,0.1368852944614,2.86196602991191,0.0042102202967371,0.0289833245115779
"ENSG00000013619",1099.97557938575,0.345565187596812,0.12609298315436,2.74055842721858,0.00613348758541903,0.0388080073483097
"ENSG00000014216",3455.41544059137,0.263734670911924,0.0765749826017706,3.44413621722228,0.000572886995239434,0.00586085688829571
"ENSG00000015520",17.5466043529139,-2.56939216564056,0.747533336508125,-3.43716064576155,0.000587846836167844,0.0059696549034016
"ENSG00000016391",92.3513074840142,-2.04578922180252,0.46689777168682,-4.38166413690825,1.17776267686318e-05,0.00021413044145867
"ENSG00000017483",446.62342813048,-0.961843295568357,0.268601366747434,-3.5809322462338,0.000342370436308251,0.00383460878625205
"ENSG00000017797",3347.85769406569,0.562658177546436,0.0972596842410265,5.78511211440982,7.2463983838848e-09,2.92736820566546e-07
"ENSG00000018189",994.470440645369,-0.313342009478841,0.101714902688842,-3.08059095762389,0.00206590243853923,0.0166588740363322
"ENSG00000019144",2987.58394078828,0.362503750597847,0.130519865539666,2.77738372698278,0.00547984423075492,0.0355513748507614
"ENSG00000019186",14.1154163115012,-4.43445999132685,1.07147644245342,-4.13864441216554,3.49363938042138e-05,0.00054333473293821
"ENSG00000019991",1199.93875092922,-0.983342556059776,0.22315134922081,-4.4066171210408,1.04997545781747e-05,0.000192588521681404
"ENSG00000019995",2081.34627259861,0.917960822037848,0.108886163021816,8.43046349106752,3.44298792348116e-17,5.64615930461568e-15
"ENSG00000020129",1038.68060410072,-0.498049079035193,0.150699612516944,-3.30491280446521,0.000950059523386896,0.00890035966394635
"ENSG00000020577",3109.16392075521,1.20442002054082,0.144996882870495,8.30652353827874,9.85466873956707e-17,1.52544746106027e-14
"ENSG00000021355",622.84835815123,0.588569221895201,0.0954785927816501,6.16441031175648,7.07462811224969e-10,3.74367621160357e-08
"ENSG00000021645",36.0198554572532,1.86794096132877,0.653433831579263,2.85865357906891,0.00425443111304688,0.0292148186257859
"ENSG00000022267",10412.3358728249,0.506218543711793,0.17698965142664,2.86015899591516,0.00423428659327857,0.0291126977353561
"ENSG00000022840",2670.4625791088,0.27320434311872,0.0763705655658886,3.57735131453247,0.00034709353606778,0.00387392873173223
"ENSG00000023318",1405.36388758249,0.226272502512559,0.0831003684616723,2.72288206058822,0.00647151562144214,0.0405553209375506
"ENSG00000023608",233.484237999061,0.728766167807938,0.22280226850441,3.27090999880691,0.00107202021725755,0.00987534530502606
"ENSG00000023697",481.636039847408,0.315278729824001,0.100417133760264,3.13969058882617,0.00169126360947976,0.0141763153663023
"ENSG00000023909",1930.28258464979,1.24328776314019,0.199118429622294,6.24396127218645,4.26625667305711e-10,2.34208324361492e-08
"ENSG00000025423",169.677638374815,-2.18688879544616,0.521033505183613,-4.1972133724404,2.70219322616122e-05,0.00043579772546162
"ENSG00000025708",144.852312972259,1.27194473726529,0.317568175787986,4.00526511861335,6.19479623023427e-05,0.000886048445262264
"ENSG00000026950",735.365109675306,-0.887919197437817,0.136305310575366,-6.5141937147553,7.30811354169544e-11,4.84177138364406e-09
"ENSG00000027697",1441.68616089406,0.400976115666843,0.134268758591431,2.98636942706069,0.00282311370194264,0.0212348920278274
"ENSG00000028137",519.706483615401,0.806703462218902,0.215838561641861,3.73753168146782,0.000185835679544483,0.00227999730392243
"ENSG00000028277",34.5177505909041,-2.02177221130086,0.53738635994509,-3.76223209593083,0.000168403657358325,0.00209605875756392
"ENSG00000031081",329.847121929405,-0.685223890898018,0.218823571649993,-3.13139889698003,0.00173975677348194,0.014509361248329
"ENSG00000031698",2852.94190789363,-0.537170630641413,0.0903401055918128,-5.94609257009873,2.74618882347068e-09,1.22932771576067e-07
"ENSG00000031823",1529.43377105831,-0.39634867450423,0.112796976818207,-3.51382355879112,0.000441706103386705,0.00475063518856753
"ENSG00000032742",222.197037889247,-0.644484945874034,0.140685235088117,-4.58104182340362,4.62665296888897e-06,9.39108494163089e-05
"ENSG00000033327",1293.67127359467,0.376520578573992,0.124991711426988,3.01236437420836,0.00259221240729954,0.0199925767121804
"ENSG00000033867",2318.61596324011,-0.931791623581152,0.15231203567485,-6.11764933383404,9.49657538910399e-10,4.81014612139845e-08
"ENSG00000034152",1146.63518391147,0.843105844872017,0.216856058547608,3.8878593040873,0.000101132216849875,0.00135084911910038
