"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000000003",664.175360995716,500.192201639526,742.876017218264,610.749936251487,967.676910470952,747.861141948651,839.726321305118,605.780332625881
"ENSG00000000419",456.803966988217,574.997731795437,528.437579258352,546.381683166159,499.144416912521,570.717337552027,454.760877901603,538.000714989418
"ENSG00000000457",254.323407745046,235.581594968616,223.798845966098,245.497523395206,208.331145048667,236.429835706785,254.099003719601,242.523944355466
"ENSG00000000460",58.6900171719337,61.4075247548525,34.037847295224,52.3927641392207,66.3258339338614,45.0002406330134,82.8820784664792,63.5433915341833
"ENSG00000000971",3180.02076376594,4107.60515587459,5256.29456856496,6364.97237485619,5715.07602396772,7876.47068984505,5644.70576503285,8467.15692192992
"ENSG00000001036",1401.71324345635,1185.7234779937,1474.68973406558,1318.8007201901,1210.87163489511,1027.86263922073,1482.06242942033,1174.49368685682
"ENSG00000001084",507.668648537226,424.270171033526,506.312978516457,737.98950630388,697.271587509824,510.002727174151,759.025350166704,745.575794001084
"ENSG00000001167",385.397779429031,263.494106220822,394.839028624598,261.963820696104,559.51793241642,417.145087772695,392.599319051744,284.886205378255
"ENSG00000001460",168.244715892877,187.572075614822,224.649792148478,176.638461955087,204.929820231546,150.000802110045,169.035817925056,187.453005025841
"ENSG00000001461",2065.88860445207,2084.50634031472,4371.31053888914,3977.35926622598,2325.65584370655,1965.01050764158,2690.39588916848,3076.55920678004
"ENSG00000001497",512.559483301554,544.852219643055,542.903664358823,534.406194220051,574.823894093465,575.717364289028,537.642956368082,503.051849645618
"ENSG00000001561",69.4498536534549,56.9415229544996,179.549644482307,233.522034449098,19.5576176984463,27.1430022865795,146.134190980371,182.157722397992
"ENSG00000001617",542.882658840387,439.901177334761,770.106295054443,621.228489079331,618.190785511759,497.859805098576,673.96216437216,634.374858816263
"ENSG00000001629",1623.75714175683,1396.74206306037,1922.28742599777,1615.19407160626,2093.51542493803,1795.72388811739,2058.96531769359,1758.03383244574
"ENSG00000001630",57.7118502190681,60.2910243047643,56.1624480371196,34.4295307200593,71.427821159543,62.1431894455899,33.8071635850113,62.4843350086136
"ENSG00000001631",713.083708638994,772.618311461053,802.442249984906,711.044656175138,879.242465225803,830.718727876104,797.194728407846,787.938055023873
"ENSG00000002016",196.611557525978,179.756572464205,217.842222689434,148.196675708081,227.888762747113,183.57241020134,174.488586245219,145.090744003052
"ENSG00000002330",201.502392290306,194.271078315352,156.57409755803,166.159909127243,164.964253630373,185.715278802912,170.126371589089,187.453005025841
"ENSG00000002549",1427.14558423085,1444.75158241417,1120.69612219525,1493.94224602692,1233.83057741068,1302.86410975582,930.242275419826,1091.88727786238
"ENSG00000002586",7343.09931516177,8042.1527419855,8084.83967879808,9301.96103888907,9330.68430456744,9187.90627400716,7452.84373999893,7651.68339724124
"ENSG00000002746",147.7032098827,155.193562562264,99.5607033385302,97.3008476871242,76.5298083852246,72.8575324534502,93.7876151068054,126.027726542797
"ENSG00000002822",402.026617627746,338.299636376733,379.521997341747,291.902543061373,378.397385904722,373.573426207397,321.713330889623,317.716957670916
"ENSG00000002834",6176.14614039316,7105.40886436148,6663.75955422248,8695.70191099238,5677.66145097939,8550.04572027254,6288.13242681209,8287.11731258307
"ENSG00000002919",228.891066970541,274.659110721704,253.581962349419,315.853520953588,184.521871328819,268.572864730365,200.661874182002,280.649979275976
"ENSG00000002933",1226.62135889341,1683.68267873305,541.201771994061,645.179466971547,21.2582801070068,19.2858174141486,76.3387564822835,115.4371612871
"ENSG00000003056",1163.04050695715,1057.32592623355,1077.29786689384,1037.37672995657,1095.22659111299,1110.72022514819,1043.65985647922,952.091816487179
"ENSG00000003096",537.991824076059,351.697641777792,473.977023585994,255.97607622305,441.321895021462,202.858227615489,528.918527055821,237.228661727618
"ENSG00000003137",121.29270215533,63.6405256550289,217.842222689434,94.3069754505973,25.5099361284082,32.143029023581,211.567410822329,72.0158437387411
"ENSG00000003249",79.2315231821105,79.2715319562641,176.145859752784,119.754889461076,92.6861012665498,80.0004277920238,170.126371589089,135.559235272924
"ENSG00000003393",752.210386753617,807.229825413788,673.098430263054,808.345503862262,948.119292772505,1077.86290659075,837.545213977053,915.024838092239
"ENSG00000003400",95.860361380825,65.8735265552054,113.17584225662,107.779400514968,49.3192098482559,35.0001871590104,104.693151747132,70.9567872131713
"ENSG00000003402",1392.90974088056,2921.88167788089,1482.348249707,3538.75698357479,1991.4756804244,3712.87699699053,1376.27872400917,3983.11159266772
"ENSG00000003436",4277.5240848811,4670.32138271905,4930.38218071319,4835.10366199094,6244.83236423433,3557.87616814349,3764.59124824061,3539.36690845401
"ENSG00000003509",280.733915472416,312.620126024704,303.787787109874,285.914798588319,328.227844852186,282.858655407513,273.728969672188,262.646018341291
"ENSG00000003756",2316.29934438565,1951.64278675422,2292.44901533334,1986.4342289356,2250.82669772988,1800.00962532053,2176.74511340911,2195.42417750603
"ENSG00000003987",16.6288381987145,27.9125112522057,21.273654559515,43.41114742964,17.0066240856055,36.4287662267251,13.0866439683915,28.5945261903825
